location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh ,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,3.32,µg/m³,28.6701,76.9254,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Gobind Pura, Yamuna Nagar - HSPCB",Yamunanagar,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,3.08,µg/m³,30.1480566,77.2893471,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"H.B. Colony, Bhiwani - HSPCB",Bhiwani,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,4.33,µg/m³,28.806223,76.141105,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Sector-2 IMT, Manesar - HSPCB",Manesar ,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,47.89,µg/m³,28.360699,76.93609,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hardev Nagar, Bathinda - PPCB",Bathinda ,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,4.2,µg/m³,30.233011,74.907758,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Model Town, Patiala - PPCB",Patiala,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,15.45,µg/m³,30.349388,76.366642,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Deshpande Nagar, Hubballi - KSPCB",Hubballi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,5.62,µg/m³,15.351773,75.140726,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Patparganj, Delhi - DPCC",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,1.4,µg/m³,28.623748,77.287205,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Sonia Vihar, Delhi - DPCC",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,7.9,µg/m³,28.710508,77.249485,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Rohini, Delhi - DPCC",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,3.3,µg/m³,28.732528,77.11992,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Nehru Nagar, Delhi - DPCC",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,9.8,µg/m³,28.56789,77.250515,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,16.4,µg/m³,28.611281,77.237738,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,5.4,µg/m³,28.58028,77.233829,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
