location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",Kalaburagi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,56.27,µg/m³,17.320057,76.820889,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Bawana, Delhi - DPCC",Delhi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,376,µg/m³,28.7762,77.051074,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hardev Nagar, Bathinda - PPCB",Bathinda ,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,69.42,µg/m³,30.233011,74.907758,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Model Town, Patiala - PPCB",Patiala,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,88.1,µg/m³,30.349388,76.366642,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Kalal Majra, Khanna - PPCB",Khanna,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,50.72,µg/m³,30.736056,76.209694,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Deshpande Nagar, Hubballi - KSPCB",Hubballi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,50,µg/m³,15.351773,75.140726,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Patparganj, Delhi - DPCC",Delhi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,354,µg/m³,28.623748,77.287205,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Sonia Vihar, Delhi - DPCC",Delhi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,357,µg/m³,28.710508,77.249485,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Rohini, Delhi - DPCC",Delhi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,503,µg/m³,28.732528,77.11992,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Nehru Nagar, Delhi - DPCC",Delhi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,370,µg/m³,28.56789,77.250515,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,77,µg/m³,28.611281,77.237738,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,353,µg/m³,28.58028,77.233829,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Jahangirpuri, Delhi - DPCC",Delhi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,469,µg/m³,28.73282,77.170633,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,248,µg/m³,28.498571,77.26484,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Ward-32 Bapupara, Siliguri - WBPCB",Siliguri,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,139.7,µg/m³,26.6883049,88.412668,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Dwarka-Sector 8, Delhi - DPCC ",Delhi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,372,µg/m³,28.5710274,77.0719006,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Asansol Court Area, Asansol - WBPCB",Asansol,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,72.29,µg/m³,23.685297,86.945968,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Shastri Nagar, Jaipur - RSPCB",Jaipur,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,33,µg/m³,26.9502929,75.730943,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Indira Colony Vistar, Pali - RSPCB",Pali,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,39.5,µg/m³,25.771061,73.340227,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Adarsh Nagar, Jaipur - RSPCB",Jaipur,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,32.84,µg/m³,26.902909,75.836853,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"RIICO Ind. Area III, Bhiwadi - RSPCB",Bhiwadi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,181.81,µg/m³,28.194909,76.862296,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Civil Lines,  Ajmer - RSPCB",Ajmer,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,29.8,µg/m³,26.470859,74.646594,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Maninagar, Ahmedabad - GPCB",Ahmedabad,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,202.42,µg/m³,23.002657,72.591912,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Victoria, Kolkata - WBPCB",Kolkata,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,86.5,µg/m³,22.5448082,88.3403691,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Opp GPO Civil Lines, Nagpur - MPCB",Nagpur,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,64.06,µg/m³,21.152875,79.0517531,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
